,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
910,460.0,470.0,2072.5,520.0,430.0,181.0,70.0,12.02790081632724,180.0,9.467434331066626,6.909300272109079,7.818600544218159
911,460.0,470.0,2072.5,520.0,90.97737637837736,74.95811637421964,70.0,9.6,131.03852000831543,8.819932727650702,5.090033636174649,6.198073999584229
912,446.3425659802186,470.0,2523.9300293245415,520.0,373.0,168.4825073311354,69.60699706754585,12.684052492586034,174.87551026358955,12.887551026358954,8.666151612849786,10.19650146622708
913,460.0,470.0,2650.0,520.0,255.0,177.0,92.0,12.1,170.0,16.43533551425699,10.641166121435752,14.782332242871504
914,494.9727041941767,470.0,2508.7431760485442,520.0,239.1202232339809,118.26774227378516,76.2622831126205,14.408746826699293,150.50272958058233,13.514751903980423,9.276501269320281,10.77377168873795
915,460.0,470.0,2720.0,520.0,309.6066523840495,191.57618027432105,90.06094421945684,9.6,182.57618027432105,15.388369118212424,9.209420613970423,11.518562246888948
916,460.0,470.0,2719.731103492701,520.0,313.8066895218969,193.08575187518355,91.40842768394229,9.621511720583916,184.81177244489072,17.992949689379802,10.973618641569491,14.322528305182688
917,460.0,470.0,2710.0,520.0,365.6896824541653,167.16516288026273,70.0,10.917483985796752,178.39806460445905,10.221354776878673,6.758258144013136,8.019419381337713
918,460.0,470.0,2798.807546704684,520.0,199.64015142712867,163.1213579138081,90.0,11.928452802281038,165.5230186818736,16.73744901660282,10.67468677477799,12.615064110012188
919,460.0,470.0,2300.0,520.0,282.73311311591135,120.36655655795568,75.0,15.516892585280035,153.2179063684445,13.95743250947556,9.45743250947556,11.139611573160005
920,500.0,470.0,2510.0,520.0,266.1966948871045,126.78851269919704,74.0,15.101305926291952,150.6549173721776,12.419669488710454,8.28237605826642,8.854917372177612
921,460.0,470.0,2720.0,520.0,283.2238043510368,142.38096072413418,89.30476157103463,10.990476857930734,158.6904803620671,15.508571528689611,10.848095021172512,12.59142847131039
922,460.0,470.0,2530.0,520.0,373.0,170.0,69.0,13.165014850366317,177.0,13.061834382217802,8.955473445920768,10.458653914069286
923,460.0,470.0,2650.0,520.0,276.6616651580444,163.112949848837,90.19486123682964,10.971788273018522,174.5128469079259,14.485118174988152,9.120503582225929,12.32767726248223
924,460.0,470.0,2326.721175186626,520.0,234.39672948880244,145.1901884664073,75.0,12.1,165.0,16.1,10.4,14.5
925,460.0,470.0,2874.4008515728015,520.0,373.0,168.22004257864006,88.71198296854398,10.840784671689574,179.6601277359202,11.391590632699184,7.577995742135993,8.984793187417589
926,460.0,470.0,2305.2891368552037,520.0,236.0,150.0,75.0,12.14231309484163,165.0,16.1,10.4,14.5
927,460.0,470.0,2760.0,520.0,318.0,202.87125160170035,90.0,12.5,185.0,19.5,11.1,14.2
928,460.0,470.0,2072.5,520.0,86.46591995428363,60.03880584027814,70.0,9.6,205.0,8.339800973379688,5.00582087604172,6.736890535358829
929,460.0,470.0,2720.0,520.0,292.64316552936003,125.0,91.35683447063994,16.8,150.0,15.467841723531997,10.667841723531996,12.467841723531997
930,460.0,470.0,2072.5,520.0,99.8154188275425,65.47664937965993,70.0,9.6,130.46145293114373,9.0,4.727687175868624,6.816938472394129
931,460.0,470.0,2829.245815762252,520.0,213.01956049092723,139.47065926360912,90.96229078811258,11.15656381783112,157.97136514859267,15.823532963180456,10.233938290698672,12.445251054264896
932,460.0,470.0,2300.0,520.0,266.5519654674449,160.7648052889963,75.0,13.56741182964841,165.31677075644126,16.507246509836293,10.494120132224907,12.813126377611383
933,460.0,470.0,2650.0,520.0,245.27851674260205,163.18526063422394,92.0,10.820857466131846,167.4417149322637,16.395337194581096,10.651165701354726,14.802331402709452
934,500.0,470.0,2510.0,562.1511158641903,255.0,175.90115622098665,74.0,14.41569776827162,175.0,16.425582146172957,10.441279914444575,9.969190645309348
935,460.0,470.0,2910.0,520.0,415.3445543635391,188.6814210427378,88.0,10.760442631282134,185.0,11.249085613903171,7.773628420854757,8.824542806951586
936,460.0,470.0,2349.8702487808177,520.0,236.04930546328927,150.07006565835846,75.0,12.1,165.01297512191823,16.103892536575472,10.401297512191825,14.497404975616353
937,460.0,470.0,2760.0,520.0,321.9509667889324,205.23888118039503,90.0,12.262941992664055,185.65849446482207,19.183922656885407,11.047320442814234,14.055131217739145
938,460.0,470.0,3030.0,520.0,441.0,200.0,88.0,10.423934693087386,182.11292519201706,9.836647621505909,7.2,8.125355102304205
939,460.0,470.0,1684.0272191774457,520.0,165.63810684842397,116.41633150646742,53.0,11.658366849353259,158.22177534195654,11.559727808225542,7.980544383548914,9.259727808225543
940,460.0,470.0,2500.1374300413318,520.0,233.30234609093006,141.60469218186012,91.76636892973586,9.634357510332961,154.21988806613095,16.41649160495982,11.195877098760043,9.259094917772694
941,460.0,470.0,2974.39087751848,520.0,441.0,200.0,88.0,10.295114031019,195.73181291974666,11.936590645987334,7.570727483210134,8.631704677006335
942,460.0,470.0,1733.735197702645,520.0,187.721252773223,127.8606263866115,53.0,11.353170768624798,164.24041759107433,12.293658462750408,8.184808351821486,9.646829231375202
943,500.0,470.0,2510.0,531.8058266558702,255.0,171.65281573182182,74.0,14.47638834668826,175.0,16.911106773506077,10.987495120194335,12.943028987724718
944,460.0,470.0,2772.0022295531207,520.0,331.20245250843277,193.87830553962826,90.0,12.379977704468793,181.39933113406377,17.723670026138134,10.331857308600274,13.071790422006652
945,460.0,470.0,2530.0,520.0,373.0,170.0,69.0,12.615607670629112,177.0,12.462481095231759,8.256227944437052,9.809354519834406
946,460.0,470.0,2650.0,520.0,239.14864664938779,151.06142178990726,92.0,10.298709846521337,166.39741969304268,16.2,10.7,14.9
947,460.0,470.0,2650.0,520.0,255.0,177.0,92.0,12.1,170.0,16.575063454995504,10.606234136251123,14.712468272502248
948,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.54090436323751,11.270452181618754,14.073869545953114
949,460.0,470.0,2102.7841012536514,520.0,411.629863854928,173.5454519991012,70.66558464293739,12.118831414372384,176.67207678531304,9.418831414372383,7.086039092903687,7.919156021491165
950,460.0,470.0,2760.0,520.0,318.0,202.31283449459667,90.0,11.263102090274003,188.43582752701664,17.850802787032006,10.825133797838667,13.444117944056336
951,460.0,470.0,2530.0,520.0,448.59996605370264,198.4444067263363,69.0,10.324447461893097,185.0,11.062223730946549,7.493335596419823,8.793335596419823
952,460.0,470.0,2787.5115130397426,520.0,300.7296602964551,207.2350330483349,89.49923246401717,10.351151303974238,197.48848696025763,13.251304811170803,7.901074550375956,13.4743475944146
953,500.0,470.0,2510.0,520.0,255.0,170.21330506913515,74.0,14.496952784726641,175.0,17.075622277813125,11.172575062539764,13.950686451605389
954,460.0,470.0,2643.360749053736,520.0,300.0787295836439,194.24912060560885,85.60986965934502,9.82573453217297,179.8672149810747,12.957697079486163,7.5585195510982475,9.611633558668357
955,460.0,470.0,2874.5853329206875,520.0,416.9180263860675,187.6048665222406,88.70829334158626,12.056196011141438,179.68779993810313,12.072878674506939,8.2833173366345,9.466634673269
956,475.8865533001633,470.0,2503.9716383250407,520.0,241.7376043150898,152.51775114261838,84.85105101492651,10.394327665008165,164.7517851525694,16.298581916252044,10.080850850248774,14.22482148474306
957,460.0,470.0,2410.0,520.0,198.90261666935038,84.0,92.0,9.6,134.4756541673376,14.241947666612992,9.05243458326624,11.089513083346752
958,500.0,477.8778438171854,2510.0,520.0,240.0,115.0,74.0,13.655728633516006,150.0,13.1,9.0,10.86870260304691
959,423.20277453141813,470.0,2508.1771612152406,520.0,196.2027745314181,167.16691588876935,74.82796144799512,10.663030957981254,171.90117406590872,17.326574182286063,10.77240128506683,13.75519742986634
960,434.62157085915237,470.0,2510.0,520.0,293.12793018403767,125.0,72.74413963192465,12.739451337464377,152.1801745399058,14.776758110422604,10.558740656432022,12.145947638028256
961,460.0,470.0,2650.0,520.0,236.63716005648828,141.87620927977449,92.0,9.6,161.8141997175586,15.817703966107034,10.476993980229103,14.310626947748345
962,419.01419479204253,470.0,2510.0,520.0,313.0,194.0,71.35681731484823,11.421591342575887,180.44602164356027,18.10892043287121,11.008920432871205,13.7
963,460.0,470.0,2762.3233221799223,520.0,339.17137571629496,233.93993307953428,89.07067112803105,10.746466443598447,194.64664435984477,17.378798661590686,10.932332217992238,13.285865774393791
964,460.0,470.0,2072.5,520.0,68.56187287354184,54.79859693859761,70.0,9.6,116.96467899634662,8.233216411549801,5.313426870760159,7.05335671769004
965,460.0,470.0,2951.151223713391,520.0,441.0,200.0,88.0,10.894243881433043,183.28536567860868,10.782731644299131,7.725658508577392,8.625658508577391
966,460.0,470.0,2760.0,520.0,318.0,202.52603005856943,90.0,11.646854105424998,187.36984970715278,18.362472140566666,10.910412023427776,13.678633064426387
967,460.0,470.0,2350.0,520.0,234.06531290983793,144.19593872951376,75.0,12.5,165.0,16.1,10.4,14.5
968,460.0,470.0,2772.9764568058317,520.0,315.4047086388337,212.08351976408207,90.0,10.618413763154429,197.97645680583153,14.89335783392981,8.569590922862854,14.005353147912528
969,460.0,470.0,1863.9791050877125,520.0,174.3874630526275,121.19373152631375,53.0,11.0408357964915,162.19373152631374,11.47958210175425,8.0,9.0
970,460.0,470.0,2072.5,520.0,99.16839896942834,70.6528082445733,70.0,9.6,132.07900257642916,9.0,4.824740154585749,6.525779536242752
971,460.0,470.0,1682.631775246051,520.0,163.68448534447123,115.57906514763053,53.0,12.552598208171352,153.42130781986614,11.868411237697456,8.026317752460509,9.421046742618474
972,460.0,470.0,2410.0,520.0,192.15484531900876,84.0,92.0,9.6,134.4619381276035,14.098031960644606,8.942257734049562,10.55380618723965
973,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.434614173864304,11.217307086932152,14.20673228266962
974,460.0,470.0,2072.5,520.0,76.8571997565717,57.2264974897283,70.0,9.6,120.4042047771151,8.435541457477358,5.151566834018113,7.012891708504529
975,460.0,470.0,1683.787726259513,520.0,165.30281676331805,116.27263575570774,53.0,12.356086535882808,154.92404413736676,11.810613687024356,8.03787726259513,9.386368212214613
976,430.1851075242363,470.0,2526.872341693596,520.0,188.0,173.67489366774385,70.32510633225617,11.587659498384244,181.81063918551712,15.911531780478834,9.78395734789952,12.11523393096356
977,460.0,470.0,2072.5,520.0,430.0,181.0,70.0,12.209682657430513,180.0,9.689612136859514,6.969894219143503,7.939788438287008
978,460.0,470.0,2810.0,520.0,232.35153122743083,177.60755522229357,88.78488955541286,12.6,173.03777611146788,16.545645077642213,10.43168925547707,12.749422688788997
979,460.0,470.0,2729.7741262185864,520.0,344.2217657773233,238.89117111338365,91.5112936890707,10.113141626475773,185.0,18.028952791174742,11.026694053360604,13.822176577732327
980,500.0,470.0,2510.0,545.087615107553,255.0,173.51226611505743,74.0,13.004906446022968,175.0,16.449474309354684,10.100700920860424,11.19299079139576
981,460.0,470.0,2720.0,520.0,292.0,125.0,92.0,17.134825759359543,150.0,15.5,10.7,12.5
982,497.347672950395,470.0,2509.3369182375986,520.0,239.53584276631912,116.72401258224326,75.19354717232225,9.6,150.530465409921,10.217741510312791,7.492293711096364,8.64426478080884
983,460.0,470.0,2300.0,520.0,240.3917868829719,99.19589344148595,75.0,16.403013745253627,145.07534363134076,13.206780926820667,9.302260308940223,10.704520617880444
984,460.0,470.0,1852.8200883774327,520.0,190.0,129.0,53.0,10.045066559542505,170.0,12.0,7.954933440457494,9.06759983931376
985,474.6142727869623,470.0,2510.0,520.0,255.0,179.51964770488914,74.63464318032594,12.976856367217739,171.8267840983703,17.417321590162974,11.009607045902218,13.719214091804435
986,438.0485589636068,470.0,2520.2438039838253,520.0,400.24340031750876,209.75619601617475,69.97561960161748,10.931714701213107,185.0,14.170763705256796,9.05855332274971,11.382953904448058
987,460.0,470.0,2824.9182482163856,520.0,373.0,165.74591241081927,89.7016350356723,13.262943064210127,172.23773723245782,12.956880291023136,8.591144524970606,10.231471532105063
988,500.0,470.0,2510.0,520.0,255.0,176.384786628219,74.0,14.153914651287597,175.0,16.326366287362045,10.264844950183942,9.551550498160575
989,460.0,470.0,2720.0,520.0,292.3882702265177,125.0,91.61172977348228,17.20293244337057,150.0,15.480586488674115,10.680586488674114,12.480586488674115
990,460.0,470.0,2807.2173255321513,520.0,264.1722488933476,179.3356837445674,88.11130697871396,12.594434651064303,175.55653489356976,16.00591791062081,10.061218838292673,12.31130697871395
991,460.0,470.0,2510.0,520.0,338.26942105894545,236.95801580020725,75.0,9.6,185.0,18.2,11.1,13.7
992,460.0,470.0,2650.0,520.0,235.84509356637645,149.53528069912937,92.0,9.6,165.0,16.2,10.7,14.9
993,460.0,470.0,2300.912124071418,520.0,235.94527255571492,149.83581766714474,75.0,12.1,165.0,16.1,10.4,14.5
994,460.0,470.0,2510.0,520.0,322.09115612900735,209.4549654193125,75.0,9.6,185.0,18.2,11.1,13.7
995,460.0,470.0,2350.0,520.0,233.00823339569482,141.02470018708445,75.0,12.1,165.0,16.1,10.4,14.5
996,419.65253816616905,470.0,2510.0,520.0,317.4830513148701,201.17288210379218,71.41355894810391,11.482881552245443,185.0,17.572372815918186,10.831016921107794,14.14830513148701
997,460.0,470.0,1705.9199288012546,520.0,177.2799525341698,122.6399762670849,53.0,10.920802689730378,163.6399762670849,11.830399367122263,7.8424001582194345,9.3
998,456.28280258884894,470.0,2555.8697806542764,520.0,188.0,175.0,69.16520877382894,9.707385702988809,202.52186839256595,12.829542811955235,7.505636231583534,9.555198863732214
999,460.0,470.0,3030.0,520.0,329.5936007165318,246.75089969931255,88.0,10.793639992322873,200.02650003198804,17.67190996609269,11.178799974409579,13.472969967372212
1000,460.0,470.0,2650.0,520.0,254.45147758479314,176.10241786602512,92.0,12.037667907362856,169.8753358147257,16.2,10.7,14.9
1001,460.0,470.0,2760.0,520.0,316.0370048829649,202.98149755851756,90.0,10.160176342815337,197.36123168888176,14.793480737483714,8.982379272594255,13.492599023407028
1002,427.4696756520201,470.0,2515.5420780675645,520.0,394.3370005601233,174.69863661823786,70.44579219324355,11.139764925608308,174.15655855067337,12.012054535270487,7.761448048310888,9.27831687729742
1003,500.0,470.0,2510.0,520.0,275.5215368288338,139.62812549332597,74.0,16.853513428181458,155.29932464431954,14.301587875170615,8.997052379531313,9.916554107386588
1004,460.0,470.0,2410.0,520.0,201.0,84.0,92.0,9.6,135.84462818749034,14.059228635418275,8.859228635418276,10.846611543752898
1005,500.0,470.0,2510.0,520.0,255.0,173.25474287568562,74.0,12.90189715027425,175.0,16.460511019613474,10.085985307182037,11.340146928179642
1006,460.0,470.0,2850.0,520.0,247.1492922618962,139.98927563487143,92.0,10.791548710316029,156.9154871031603,14.158815988093007,9.44388676190339,12.70180183333093
1007,460.0,470.0,2513.2283488259477,520.0,322.6850464778425,199.35038955459186,74.03149535221574,10.18110278867055,183.708660469621,17.376771049383386,10.761023373275512,13.183464187848399
1008,460.0,470.0,1680.0,520.0,160.0,114.0,53.0,12.774414683835595,151.0253878007473,11.917968975940216,7.979492243985054,9.458984487970108
1009,415.0,470.0,2510.0,520.0,346.8797923276482,219.1678457291101,71.0,11.696799406650422,184.83997033252118,17.51920356009746,10.806401186699153,14.183997033252117
1010,460.0,470.0,2760.0,520.0,318.0,202.28904752116324,90.0,11.979714461906147,186.44523760581626,18.806285949208196,10.9843809915347,13.882047726720423
1011,460.0,470.0,2800.024653633084,520.0,368.012326816542,175.9728810036076,90.0,11.740640994460184,173.9901385467664,13.097534636691599,8.458619396547295,10.21822493841795
1012,460.0,470.0,2850.0,520.0,255.0,152.60512391726652,92.0,12.1,170.0,16.494498873479397,10.626375281630152,14.752750563260301
1013,438.84280104315025,470.0,2504.7015997681888,520.0,236.2911198377322,124.0742408345202,82.12664048680345,13.079183828459737,151.8879203013545,14.783552064907127,9.682824025499228,12.878312099678801
1014,460.0,470.0,2734.144601912889,520.0,294.0,125.0,88.5855398087111,9.6,153.53615047822223,13.249032722631112,8.400356607857777,10.25397165568
1015,460.0,470.0,2720.0,520.0,296.0145185620421,186.21335401731406,88.0,10.528881994228644,178.8388975072142,13.212771744950064,7.850217395960051,9.896661495671482
1016,460.0,470.0,2723.491607183587,520.0,343.43645089794836,242.8177455102581,91.82541964082066,9.783309377138318,185.0,18.138896874287227,11.073812946123097,13.743645089794837
1017,460.0,470.0,2324.6948021820326,520.0,244.13428703990564,159.21974242893648,75.0,12.29755841745626,167.53051978179673,16.85915593453902,10.653051978179674,13.993896043640653
1018,460.0,470.0,1736.2176335276058,520.0,190.0,129.0,53.0,11.211618644934015,165.33992828871533,12.372805736902773,8.186402868451387,9.652410039579854
1019,460.0,470.0,2793.9678903920244,520.0,364.98394519601214,182.6353205687733,90.0,11.583165150192631,176.41284384319027,13.703210960797572,8.79779813804664,10.65431189177425
1020,460.0,470.0,3030.0,520.0,374.4850930735153,227.91250558522125,88.0,10.31265971706948,202.0305845122105,15.547580417056864,9.575532390231595,11.428803797545283
1021,460.0,470.0,3030.0,520.0,370.35381392910836,229.64616736903488,88.0,10.68923085554703,192.61539036980207,14.70923309976984,9.723078073960416,11.50615539984656
1022,460.0,470.0,2762.7286601389046,520.0,337.6310914721629,236.371960833427,88.9085359444382,11.20884117499719,193.1859804167135,17.609146405556178,11.01829281111236,13.81798758055337
1023,460.0,470.0,2782.5698441030922,520.0,292.27037772247473,191.16647483051568,89.0972062358763,12.545139688206184,180.48603117938154,17.829831536371167,10.603463429731969,13.297206235876306
1024,460.0,470.0,2695.1907088938938,520.0,320.21724832177637,217.9071350658842,80.52736157766853,10.713598573855672,191.76617030166534,17.87446098994449,10.98043120804441,13.454892197988897
1025,460.0,470.0,2720.0,520.0,343.0,245.0,92.0,9.6,185.0,18.361384369864187,11.200865231165118,13.861384369864188
1026,445.8057196545925,470.0,2510.0,520.0,275.59772048975134,118.69143095759667,73.73828619151934,16.863085690424032,151.84571547879833,13.847657238303867,9.442285773939917,11.079200083515884
1027,500.0,470.0,2510.0,520.0,255.0,170.0,74.0,14.245182477396295,175.0,17.056065944378673,11.085771455384545,14.020918699881609
1028,460.0,470.0,2896.117522655798,520.0,431.5599154059426,195.14113292952928,88.27764954688404,11.224942296097819,182.9176283983697,11.497177341409415,7.986117522655798,8.983294864065213
1029,460.0,470.0,2720.0,520.0,294.0,125.0,90.0,9.619518475783174,150.0,15.300271089941434,11.29810237040997,12.798915640234268
1030,460.0,470.0,2650.0,520.0,252.432686588883,172.79894169089948,92.0,11.808259839645796,169.41651967929158,16.2,10.7,14.9
1031,460.0,470.0,2850.0,520.0,255.0,164.18068715371675,92.0,12.1,170.0,16.38926648042076,10.65268337989481,14.80536675978962
1032,460.0,470.0,2410.0,520.0,201.0,84.0,92.0,9.6,136.18169435683248,14.003050940527919,8.80305094052792,10.745491692950255
1033,460.0,470.0,2744.114211000671,520.0,282.89163029818894,122.94289449966462,88.41142110006707,9.6,153.97144724983232,12.605710550033537,7.611421100067075,9.2
1034,460.0,470.0,2115.0,520.0,186.54836100589867,90.08185725646585,60.0,9.6,137.6674812528359,13.913398500226872,8.74937895015881,10.680146625510462
1035,415.0,470.0,2510.0,520.0,318.0,202.85072746001646,71.0,11.7,185.0,17.5,10.8,14.2
1036,460.0,470.0,2650.0,520.0,250.17351598542564,170.14131218981538,92.0,11.464936313871796,168.7298726277436,16.49838981021949,10.625402547445129,14.750805094890255
1037,460.0,470.0,2720.0,520.0,281.3359329189866,145.42591464679583,89.18296341412817,15.492741462605066,160.21295732339792,15.604259146467959,10.35488902423845,12.318296341412816
1038,462.68247731600184,470.0,2510.0,520.0,255.0,183.99407100649933,74.93293806709995,12.260948638960109,170.33530966450022,17.56646903354998,10.920118579870014,13.540237159740027
1039,460.0,470.0,2300.0,520.0,240.0,99.0,75.0,16.338320439910255,145.0,13.20090705235426,9.295464738228697,10.697278842937216
1040,460.0,470.0,2310.250090502662,520.0,251.1049656089885,171.4649511285626,75.0,12.182000724021295,168.9749909497338,17.292497284920145,10.797499094973382,13.705001810053238
1041,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.2,11.1,14.19661713202896
1042,456.690224061537,470.0,2500.735505764103,520.0,233.51485403487203,138.3521792492296,90.45543789538394,10.144274265436138,157.04384250666624,15.894058386051192,10.119094365948682,14.583732521435758
1043,460.0,470.0,2850.0,520.0,250.82394826126915,161.05730336460982,92.0,11.403991376878192,163.03991376878193,15.11422654792998,10.031831721803066,13.730705513155364
1044,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.219237857585636,11.109618928792818,14.475952678017956
1045,491.2605792700566,470.0,2507.815144817514,520.0,250.19331859853114,163.66391997079103,77.93273932847453,11.16302896350283,171.28574618977404,16.49075724087571,9.965545655474576,13.571425381022594
1046,460.0,470.0,2710.0,520.0,352.80736943088294,163.09706403080514,70.0,10.62367684666926,178.1720591128225,10.379558621024245,6.554853201540258,7.951617733846753
1047,460.0,470.0,2650.0,520.0,234.7464865266428,130.52108084014316,92.0,9.6,160.01003849530628,15.601204619436752,10.350702694671439,13.97685712163166
1048,460.0,470.0,2639.976856545976,520.0,260.2120345960926,186.0208291086218,87.58981688022934,11.939629704735612,171.80416582172435,16.280185147632192,10.539629704735612,14.378796540390741
1049,460.0,470.0,2350.0,520.0,233.5246019699216,142.57380590976481,75.0,12.430053070677118,165.0,16.1,10.4,14.5
1050,460.0,470.0,2410.0,520.0,201.0,84.0,92.0,9.6,137.44078503963556,13.793202493394071,8.593202493394072,10.367764488109328
1051,460.0,470.0,2507.64308253935,520.0,249.81478158657,174.62956317314,79.006759683105,11.5107706348375,166.22893206296,17.317169904722,10.9707075238195,12.486525491920501
1052,460.0,470.0,2772.6751712744035,520.0,315.4649657451193,211.50637845580266,90.0,10.662100165211486,197.67517127440354,15.000314197586743,8.628341601491309,14.009872430883947
1053,460.0,470.0,2764.606693476874,520.0,323.0673628245616,199.4989129575756,90.0,12.61977403039873,183.61799195693774,18.9287700088676,10.888092100063787,13.859104682711308
1054,460.0,470.0,2530.0,520.0,425.6528631631699,190.51410253110515,69.0,10.800773506363338,182.47042734162804,11.284576924066846,7.463239316459299,8.858098291148247
1055,460.0,470.0,2728.233866484099,520.0,292.8233866484099,125.0,90.35322670318023,13.835808065724407,152.0584666210247,14.223750694964675,9.259073365282699,11.141412030123687
1056,460.0,470.0,2650.0,520.0,255.0,165.58735428301677,92.0,12.1,170.0,16.2,10.7,14.9
1057,415.0,470.0,2510.0,520.0,332.18179895453363,208.24933636622498,71.0,11.654805139870096,182.7402569935048,17.771169160779426,10.890389720259808,13.974025699350479
1058,460.0,470.0,2810.0,520.0,240.1061192044388,177.71378245485533,88.57243509028935,12.6,173.56891227427664,16.343813335774882,10.314839299659141,12.600704563202543
1059,460.0,470.0,2350.0,520.0,236.0,150.0,75.0,12.14013302188313,165.0,16.1,10.4,14.5
1060,460.0,470.0,2530.0,520.0,398.561094995635,177.51796911636325,69.0,12.373023397200042,180.0071876465453,12.460972625109124,8.624101544181837,10.048921853018205
1061,460.0,470.0,2770.795621238293,520.0,315.84087575234145,210.0967159287195,90.0,10.934634920447564,195.79562123829265,15.667554460406105,8.994853858532931,14.03806568142561
1062,460.0,470.0,2383.6753194766998,520.0,215.03982961242684,109.00844649713532,84.54134051839824,10.872359558626183,149.84610623548517,14.752987220932013,9.333614883237844,12.086602104169858
1063,500.0,470.0,2510.0,520.0,265.56284322734683,154.36699202352665,74.0,15.97879805182856,164.85967050174702,15.705704693990215,10.185967050174701,12.029682727440015
1064,460.0,470.0,2350.0,520.0,234.93391264454482,146.80173793363443,75.0,12.1,165.0,16.1,10.4,14.5
1065,460.0,470.0,2386.51107338791,520.0,213.52742752644807,106.3144802814856,85.34480412657447,10.578705275503754,148.57001697544055,14.639557064483604,9.243816009382854,11.883373073866458
1066,460.0,470.0,2350.0,520.0,234.5955724390645,145.78671731719356,75.0,12.31274299187527,165.0,16.1,10.4,14.5
1067,415.0,470.0,2510.0,520.0,188.0,175.0,71.0,11.013252491064389,174.66690443804592,17.606661911239083,10.913323822478164,13.506661911239082
1068,460.0,470.0,2650.0,520.0,233.6870761727744,143.06122851832316,92.0,11.527436522688008,165.0,16.50838984363008,10.622902539092479,14.74580507818496
1069,460.0,470.0,2855.715068938659,520.0,404.0862468782882,181.0002741285307,89.08569862122681,11.588564379552068,176.85726034079886,11.779994517429387,7.945715068938659,9.225709586368046
1070,415.0,470.0,2510.0,520.0,188.0,173.8630562862729,71.0,11.866402156668048,172.15764071568222,17.656847185686356,11.013694371372711,13.556847185686356
1071,460.0,470.0,2650.0,520.0,244.99223678868725,124.95963130117377,92.0,10.43203946478121,153.3203946478121,14.598757886189963,9.765942100277478,12.431418407876192
1072,460.0,470.0,2760.0,520.0,318.0,202.2694508631907,90.0,12.5,185.0,19.5,11.1,14.2
1073,460.0,470.0,2760.0,520.0,318.0,203.0,90.0,11.251308306673991,188.4685880370167,17.835077742231988,10.822512957038665,13.436910631856327
1074,460.0,470.0,2350.0,520.0,233.50019227998015,142.50057683994044,75.0,12.166692303997353,165.0,16.1,10.4,14.5
1075,460.0,470.0,2072.5,520.0,95.02379373031097,62.54354938448126,70.0,9.6,127.93669496134845,8.878629115373439,4.797096707701249,6.924274176925312
1076,460.0,470.0,2350.0,520.0,234.4862708792119,145.4588126376357,75.0,12.298169450561586,165.0,16.1,10.4,14.5
1077,460.0,470.0,2350.0,520.0,235.22438273341714,147.6731482002514,75.0,12.5,165.0,16.1,10.4,14.5
1078,460.0,470.0,1769.6383216559484,520.0,172.80547452227833,120.40273726113917,53.0,11.08898661358904,161.40273726113918,11.770739660297044,7.9426849150742616,9.171945254777217
1079,460.0,470.0,1889.8846307961921,520.0,189.9307784777153,128.96538923885765,53.0,10.004614768152313,169.96538923885765,11.997692615923842,8.0,9.0
1080,460.0,470.0,2775.0480624007764,520.0,314.9903875198447,213.28604680058234,90.0,10.318030951887414,200.04806240077644,14.157937847724359,8.165627831848592,13.974279063988353
1081,460.0,470.0,2774.650976937827,520.0,334.11607463160976,191.86525752725146,90.0,12.880925400383504,180.60470691865189,17.683278859709446,10.426055060859955,13.115827706600797
1082,460.0,470.0,2363.285683656955,520.0,221.48574083063906,128.3786005258928,78.76427703613723,11.546429847626877,157.2500178667763,15.767857908576127,10.200714745145676,13.725001786677629
1083,453.5592406503189,470.0,2510.0,520.0,339.42180036128826,238.98862460696427,74.42748805780612,9.900568769651786,185.0,18.09981041011607,11.057061604335459,13.771563992774235
1084,460.0,470.0,2300.0,520.0,250.63631884481208,104.31815942240604,75.0,16.481817837267783,147.04544593169464,13.384090133852517,9.36136337795084,10.822726755901677
1085,460.0,470.0,2650.0,520.0,233.0,141.0,92.0,11.385160205559036,165.0,16.485625632889448,10.628593591777639,14.757187183555276
1086,460.0,470.0,2720.0,520.0,284.2412039466271,181.91574081983208,88.0,11.62407405147655,177.4699074356543,14.171064795041982,8.616851836033584,10.71805553860741
1087,460.0,470.0,1691.0414118662948,520.0,167.3609412441965,117.68047062209826,53.0,12.582879996162198,153.68047062209826,12.098145883255954,8.049072941627976,9.549072941627976
1088,460.0,470.0,1684.6312213834865,520.0,163.08748092232435,115.54374046116217,53.0,12.825042747734953,151.54374046116217,12.041166412297658,8.02058320614883,9.52058320614883
1089,439.14166081680673,470.0,2536.82406757423,520.0,294.0,125.0,69.92703729703081,12.103000701983188,155.0,13.095277972773108,8.312444756436973,10.12703729703081
1090,475.15286262227664,470.0,2503.7882156555693,520.0,235.65175095889842,131.1506392955202,85.18121181997552,9.6,152.48471373777232,13.899777667324356,9.722595894328029,8.821178434443084
