,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
1386,460.0,470.0,3030.0,520.0,329.3747925488137,246.84272098397997,88.0,10.798996091387107,199.93307275914043,17.67289446745187,11.186614551828082,13.481929644967913
1387,460.0,470.0,2072.5,520.0,100.0,64.0,70.0,9.6,169.95169250967606,9.0,5.179420310116113,7.00653784669247
1388,460.0,470.0,2072.5,520.0,71.17711793465017,55.56403451745859,70.0,9.6,205.0,8.297002876454883,5.248501438227441,6.818801150581953
1389,460.0,470.0,2773.246036047729,520.0,240.0,112.64514914707043,90.29435635661619,9.6,149.2641091084595,13.238104003861093,9.06753963952271,9.420767267462146
1390,460.0,470.0,2072.5,520.0,70.66231407539608,55.413360217189094,70.0,9.6,183.66649864256814,7.568893369531516,4.056002016289182,6.256002016289182
1391,460.0,470.0,2850.0,520.0,246.16337198293658,116.25744155222242,92.0,10.627228663822763,155.27228663822763,14.950496103481495,9.834158905187836,12.638120129351867
1392,460.0,470.0,2502.7726564569675,520.0,239.09984420532902,153.19968841065804,87.28648402315486,10.293164114241934,161.3271877483613,16.515898468545164,10.39408595198774,14.511828096024518
1393,415.0,470.0,2510.0,520.0,188.0,173.17932179588493,71.0,10.9,175.0,17.6,10.9,13.5
1394,460.0,470.0,2760.9020135444066,520.0,314.0,204.5863088038642,90.0,9.6,205.0,12.4,7.2,13.9
1395,460.0,470.0,2305.4733799339556,520.0,236.0,150.0,75.0,12.1,165.0,16.1,10.4,14.5
1396,432.62335632431603,470.0,2506.0836985945966,520.0,205.62335632431603,161.68457522162788,79.22423295134747,10.390880817297537,168.34228761081394,17.012554789189466,10.62585890162175,14.0482821967565
1397,460.0,470.0,3030.0,520.0,441.0,200.0,88.0,10.38800619843283,183.11093893242142,9.948425160431198,7.2,8.137331267189056
1398,460.0,470.0,2850.0,520.0,254.34623546339137,139.16945929749585,92.0,11.991039243898562,168.91039243898564,16.47796395316639,10.543340406827252,14.547454941457987
1399,460.0,470.0,1758.3317618463418,520.0,190.0,129.0,53.0,10.159597864428676,170.0,12.0,7.840402135571323,9.239396796643016
1400,460.0,470.0,2720.0,520.0,343.0,245.0,92.0,9.6,185.0,18.792813878718547,11.470508674199094,14.29281387871855
1401,433.51505969620393,470.0,2518.228915420535,520.0,373.0,167.0572288551338,70.17710845794649,12.199457810745482,172.88012039718728,12.688012039718728,8.35259034812943,9.911445771026754
1402,500.0,470.0,2510.0,520.0,279.2932206032033,132.68194927144145,74.0,17.948758493732235,150.9823305150801,13.787631360556057,8.803533896983984,9.231805072855853
