,Марка,Объем багажника минимальный [л],Объем багажника максимальный [л],Тип кузова,Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
3155,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3156,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3157,Mitsubishi,,,Внедорожник,2350.0,,236.0,150.0,75.0,12.5,165.0,16.1,10.4,14.5
3158,Mitsubishi,,,Внедорожник,2510.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3159,Mitsubishi,,,Внедорожник,2350.0,,236.0,150.0,75.0,12.1,165.0,16.1,10.4,14.5
3160,Mitsubishi,,,Внедорожник,2510.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3161,Mitsubishi,,,Внедорожник,2510.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3162,Mitsubishi,,,Внедорожник,2510.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3163,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,12.3,8.3,10.7
3164,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,13.8,9.3,11.2
3165,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,16.8,150.0,15.5,10.7,12.5
3166,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,17.3,150.0,15.5,10.7,12.5
3167,Mitsubishi,,,Внедорожник,2650.0,,236.0,150.0,92.0,,165.0,16.2,10.7,14.9
